nohup: ignoring input
/home/adm-mcsc/EnviroHealth-Monitor/producers/openaq_producer.py:19: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  current_time = datetime.utcnow().isoformat()
Starting Simulated Air Quality Producer...
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 34.57, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:32:23.332085'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 8.92, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:32:28.464526'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 20.11, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:32:33.465180'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 19.39, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:32:38.465601'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 26.81, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:32:43.466152'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 35.7, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:32:48.466610'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 45.83, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:32:53.467127'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 29.6, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:32:58.467623'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 6.69, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:33:03.468312'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 27.78, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:33:08.468964'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 36.42, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:33:13.469563'}
